"agencyID";"ar";"en";"en_description";"fr";"fr_description";"he";"id";"id_description";"isFinal";"version"
"29";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of sugar cane";"Liste des codes pour les activités economiques, ISIC rev.4";"Culture de canne à sucre";NA;"CL_ACTIVITY_ISIC4";"A0114";"true";"1.0"
"30";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of tobacco";"Liste des codes pour les activités economiques, ISIC rev.4";"Culture de tabac";NA;"CL_ACTIVITY_ISIC4";"A0115";"true";"1.0"
"31";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of fibre crops";"Liste des codes pour les activités economiques, ISIC rev.4";"Culture de plantes à fibres textiles";NA;"CL_ACTIVITY_ISIC4";"A0116";"true";"1.0"
"32";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of other non-perennial crops";"Liste des codes pour les activités economiques, ISIC rev.4";"Autres cultures temporaires";NA;"CL_ACTIVITY_ISIC4";"A0119";"true";"1.0"
"33";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of perennial crops";"Liste des codes pour les activités economiques, ISIC rev.4";"Cultures permanentes";NA;"CL_ACTIVITY_ISIC4";"A012";"true";"1.0"
"34";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of grapes";"Liste des codes pour les activités economiques, ISIC rev.4";"Culture de raisin";NA;"CL_ACTIVITY_ISIC4";"A0121";"true";"1.0"
"35";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of tropical and subtropical fruits";"Liste des codes pour les activités economiques, ISIC rev.4";"Culture de fruits tropicaux et subtropicaux";NA;"CL_ACTIVITY_ISIC4";"A0122";"true";"1.0"
"36";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of citrus fruits";"Liste des codes pour les activités economiques, ISIC rev.4";"Culture d’agrumes";NA;"CL_ACTIVITY_ISIC4";"A0123";"true";"1.0"
"37";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of pome fruits and stone fruits";"Liste des codes pour les activités economiques, ISIC rev.4";"Culture de fruits à pépins et de fruits à noyaux";NA;"CL_ACTIVITY_ISIC4";"A0124";"true";"1.0"
"38";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of other tree and bush fruits and nuts";"Liste des codes pour les activités economiques, ISIC rev.4";"Culture d’autres fruits sur arbres et arbustes, et de fruits à coque";NA;"CL_ACTIVITY_ISIC4";"A0125";"true";"1.0"
"39";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of oleaginous fruits";"Liste des codes pour les activités economiques, ISIC rev.4";"Culture de fruits oléagineux";NA;"CL_ACTIVITY_ISIC4";"A0126";"true";"1.0"
"40";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of beverage crops";"Liste des codes pour les activités economiques, ISIC rev.4";"Culture de plantes pour boisson";NA;"CL_ACTIVITY_ISIC4";"A0127";"true";"1.0"
"41";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of spices, aromatic, drug and pharmaceutical crops";"Liste des codes pour les activités economiques, ISIC rev.4";"Culture de plantes pour épices, de plantes aromatiques et de planres pour médicaments et produits pharmaceutiques";NA;"CL_ACTIVITY_ISIC4";"A0128";"true";"1.0"
"42";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Growing of other perennial crops";"Liste des codes pour les activités economiques, ISIC rev.4";"Autres cultures permanentes";NA;"CL_ACTIVITY_ISIC4";"A0129";"true";"1.0"
"43";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Plant propagation";"Liste des codes pour les activités economiques, ISIC rev.4";"Prolifération végétale";NA;"CL_ACTIVITY_ISIC4";"A013";"true";"1.0"
"44";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Plant propagation";"Liste des codes pour les activités economiques, ISIC rev.4";"Prolifération végétale";NA;"CL_ACTIVITY_ISIC4";"A0130";"true";"1.0"
"45";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Animal production";"Liste des codes pour les activités economiques, ISIC rev.4";"Production animale";NA;"CL_ACTIVITY_ISIC4";"A014";"true";"1.0"
"46";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Raising of cattle and buffaloes";"Liste des codes pour les activités economiques, ISIC rev.4";"Élevage de bovins et de buffles";NA;"CL_ACTIVITY_ISIC4";"A0141";"true";"1.0"
"47";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Raising of horses and other equines";"Liste des codes pour les activités economiques, ISIC rev.4";"Élevage de chevaux et autres équidés";NA;"CL_ACTIVITY_ISIC4";"A0142";"true";"1.0"
"48";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Raising of camels and camelids";"Liste des codes pour les activités economiques, ISIC rev.4";"Élevage de chameaux et autres camélidés";NA;"CL_ACTIVITY_ISIC4";"A0143";"true";"1.0"
"49";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Raising of sheep and goats";"Liste des codes pour les activités economiques, ISIC rev.4";"Élevage de moutons et de chèvres";NA;"CL_ACTIVITY_ISIC4";"A0144";"true";"1.0"
"50";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Raising of swine/pigs";"Liste des codes pour les activités economiques, ISIC rev.4";"Élevage de porcins";NA;"CL_ACTIVITY_ISIC4";"A0145";"true";"1.0"
"51";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Raising of poultry";"Liste des codes pour les activités economiques, ISIC rev.4";"Élevage de volailles";NA;"CL_ACTIVITY_ISIC4";"A0146";"true";"1.0"
"52";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Raising of other animals";"Liste des codes pour les activités economiques, ISIC rev.4";"Élevage d’autres animaux";NA;"CL_ACTIVITY_ISIC4";"A0149";"true";"1.0"
"53";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mixed farming";"Liste des codes pour les activités economiques, ISIC rev.4";"Exploitation mixte";NA;"CL_ACTIVITY_ISIC4";"A015";"true";"1.0"
"54";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Mixed farming";"Liste des codes pour les activités economiques, ISIC rev.4";"Exploitation mixte";NA;"CL_ACTIVITY_ISIC4";"A0150";"true";"1.0"
"55";"OECD";NA;"Codelist for economic activity, ISIC rev.4";"Support activities to agriculture and post-harvest crop activities";"Liste des codes pour les activités economiques, ISIC rev.4";"Activités d’appui à l’agriculture et activités consécutives à la récolte";NA;"CL_ACTIVITY_ISIC4";"A016";"true";"1.0"
